title,year,citationCount,top_conf_citations,top_journal_citations,paperId,notes,citations_2014,citations_2015,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,citations_2024,ai_category
Riemannian Normalizing Flow on Variational Wasserstein Autoencoder for Text Modeling,2019,28,12,1,620d45497204ef9057232d49ad6ef39eaac5cba5,,0,0,0,0,0,6,11,3,2,4,1,表示学习与优化方法
A Study of Incorrect Paraphrases in Crowdsourced User Utterances,2019,21,6,0,0df932077d25679198db40de00b149eaca39d5c7,,0,0,0,0,0,0,6,4,2,3,6,自然语言处理
ComQA: A Community-sourced Dataset for Complex Factoid Question Answering with Paraphrase Clusters,2019,65,18,0,dcaca58d96c419dc330af4bca08a717ced79af20,,0,0,0,0,0,5,12,14,12,11,5,自然语言处理
FreebaseQA: A New Factoid QA Data Set Matching Trivia-Style Question-Answer Pairs with Freebase,2019,91,30,1,2dd939fe52a336451c83b4e048660f2a5a048265,,0,0,0,0,0,1,9,17,17,15,18,自然语言处理
Simple Question Answering with Subgraph Ranking and Joint-Scoring,2019,28,6,1,79416c1439ab642df7b379bbb7797f3586c4de72,,0,0,0,0,0,0,7,9,9,3,0,自然语言处理
Learning to Attend On Essential Terms: An Enhanced Retriever-Reader Model for Open-domain Question Answering,2019,38,12,0,94b0f87dddc59e0d1aa2c5d30748abfc0aaf19e0,,0,0,0,0,4,6,8,8,4,3,4,自然语言处理
UHop: An Unrestricted-Hop Relation Extraction Framework for Knowledge-Based Question Answering,2019,112,37,3,4e4230418470efbb3a86d407d8eedf329f361f6d,,0,0,0,0,0,1,6,25,23,22,17,自然语言处理
BAG: Bi-directional Attention Entity Graph Convolutional Network for Multi-hop Reasoning Question Answering,2019,79,20,3,4b390af2eb7f2fbfc7a7d9fe7b340d28bdb12926,,0,0,0,0,0,8,18,16,17,10,8,自然语言处理
Vector of Locally-Aggregated Word Embeddings (VLAWE): A Novel Document-level Representation,2019,34,6,1,603a448c7c17967e90d11bb6774f1e81e54e0789,,0,0,0,0,0,3,7,4,4,7,5,表示学习与优化方法
Multi-task Learning for Multi-modal Emotion Recognition and Sentiment Analysis,2019,193,37,6,093e72b8149826da54d224c21a8ac0e1d2f3ffa8,,0,0,0,0,0,3,25,28,29,41,36,多模态学习
Utilizing BERT for Aspect-Based Sentiment Analysis via Constructing Auxiliary Sentence,2019,680,122,32,0de47f354468283efc7765ec0b3588b2ae483c77,,0,0,0,0,0,29,108,127,128,120,77,自然语言处理
A Variational Approach to Weakly Supervised Document-Level Multi-Aspect Sentiment Classification,2019,21,8,0,f6be8b33bf77bc833c68ac12a7d95120faa71c51,,0,0,0,0,0,0,5,5,5,3,1,自然语言处理
HiGRU: Hierarchical Gated Recurrent Units for Utterance-Level Emotion Recognition,2019,150,46,3,35d92337c6dbe3f4b58f7bec82fc47a35aa5be2f,,0,0,0,0,0,5,18,22,16,28,31,自然语言处理
Learning Interpretable Negation Rules via Weak Supervision at Document Level: A Reinforcement Learning Approach,2019,20,6,1,c1eeb7f5291f550f2b190945bf90ecc57d173321,,0,0,0,0,0,3,3,6,3,2,1,强化学习与智能决策
Simplified Neural Unsupervised Domain Adaptation,2019,30,13,0,38b3d354766ea223ba3ff5c98175d3f4e4826e51,,0,0,0,0,0,1,9,10,4,1,4,机器学习（含深度学习）
Learning Bilingual Sentiment-Specific Word Embeddings without Cross-lingual Supervision,2019,18,2,1,0d0522810ea580e76ecba16e9ba59913aa829197,,0,0,1,0,0,2,5,3,3,1,2,自然语言处理
ReWE: Regressing Word Embeddings for Regularization of Neural Machine Translation Systems,2019,8,4,0,e38ec12f3f2749947dd73438162a18038b2bbd37,,0,0,0,0,0,2,3,2,0,1,0,自然语言处理
Lost in Machine Translation: A Method to Reduce Meaning Loss,2019,23,10,1,ed7c3eececad3915c865b7b11d88c338b0e0cbe1,,0,0,0,0,0,2,5,2,3,3,2,自然语言处理
Bi-Directional Differentiable Input Reconstruction for Low-Resource Neural Machine Translation,2019,17,4,1,e1aebc3a7aedd109079396488d6f48c2be3c7a70,,0,0,0,0,0,5,3,3,4,2,0,自然语言处理
Code-Switching for Enhancing NMT with Pre-Specified Translation,2019,125,49,3,d5067a342fc200e9613a61e64a0657dd9fc51896,,0,0,0,0,1,4,17,30,32,21,9,自然语言处理
Aligning Vector-spaces with Noisy Supervised Lexicon,2019,18,7,1,361904ad7588e9fbe133e1b5cf6f490bddcbd551,,0,0,0,0,0,3,7,4,3,1,0,表示学习与优化方法
Understanding and Improving Hidden Representations for Neural Machine Translation,2019,1,0,1,ccadcfda08021bed4671b061cc462b821d228b6b,,0,0,0,0,0,0,1,0,0,0,0,自然语言处理
Content Differences in Syntactic and Semantic Representation,2019,15,2,0,83aa50df8ccfbf5bb510cfbe8793485005e26cf1,,0,0,0,0,0,2,6,5,0,2,0,自然语言处理
Attentive Mimicking: Better Word Embeddings by Attending to Informative Contexts,2019,52,21,0,3cfd09d6d14fb9a34ee72a487cd610d168a60530,,0,0,0,0,0,7,9,13,6,5,8,表示学习与优化方法
Evaluating Style Transfer for Text,2019,122,41,0,37477f304279eef11f27e208dd8337adeedc5928,,0,0,0,0,1,11,16,22,21,18,18,自然语言处理
"Big BiRD: A Large, Fine-Grained, Bigram Relatedness Dataset for Examining Semantic Composition",2019,35,15,1,9817392064d6a340531d56b9e512fae993052bf0,,0,0,0,0,0,0,4,8,6,3,13,自然语言处理
Outlier Detection for Improved Data Quality and Diversity in Dialog Systems,2019,50,21,1,b000e8852951a97ec003626017307204666b1499,,0,0,0,0,0,0,6,8,10,11,9,自然语言处理
Asking the Right Question: Inferring Advice-Seeking Intentions from Personal Narratives,2019,11,5,0,7661f5e525d21b014de5bca5ee0e54d7fc967b32,,0,0,0,0,0,0,5,2,0,2,2,自然语言处理
Seeing Things from a Different Angle:Discovering Diverse Perspectives about Claims,2019,136,58,2,3e9cfcf73c6b8000d6724650fdc48d5f1a5802b1,,0,0,0,0,0,12,18,21,20,20,25,自然语言处理
IMHO Fine-Tuning Improves Claim Detection,2019,64,24,0,1565dbd85a32d62c50347ff1c27f3f7aaa8e5ab1,,0,0,0,0,0,1,5,18,13,17,7,自然语言处理
Joint Multiple Intent Detection and Slot Labeling for Goal-Oriented Dialog,2019,107,54,2,5546a01e9d498717f60df731123ec7d0a3dd4f41,,0,0,0,0,0,0,12,16,21,25,25,自然语言处理
CITE: A Corpus of Image-Text Discourse Relations,2019,41,13,0,eb8ec7c5aa23b9d0655520313e956e5bd2b7f965,,0,0,0,0,0,3,9,8,5,7,5,多模态学习
Improving Dialogue State Tracking by Discerning the Relevant Context,2019,15,6,1,f72a1a0278f1eb5306a2628773868c4182b91cfb,,0,0,0,0,0,1,5,4,1,0,1,自然语言处理
CLEVR-Dialog: A Diagnostic Dataset for Multi-Round Reasoning in Visual Dialog,2019,91,37,0,fb751f1d2ac984670a57663aec80ee8b4ac189d6,,0,0,1,0,0,10,16,19,18,13,8,多模态学习
Learning Outside the Box: Discourse-level Features Improve Metaphor Identification,2019,17,3,0,83c9e07ad446237464f354c0851ef721b1a4169c,,0,0,0,0,0,0,6,3,3,1,3,自然语言处理
Detection of Abusive Language: the Problem of Biased Datasets,2019,251,63,5,51087c300f40fd74ca648a54647b3a07c0d379dd,,0,0,0,0,0,13,49,55,45,38,29,自然语言处理
Lipstick on a Pig: Debiasing Methods Cover up Systematic Gender Biases in Word Embeddings But do not Remove Them,2019,596,176,12,049f4c438ce9eefa622ae5ba5fb7e34443b86133,,0,0,0,0,1,55,100,104,124,80,79,模型可解释性、公平性、应用系统等
Black is to Criminal as Caucasian is to Police: Detecting and Removing Multiclass Bias in Word Embeddings,2019,327,100,11,d84d1fbcfefb580152332d84da8ea25025400cd0,,0,0,0,0,1,13,41,66,76,56,51,模型可解释性、公平性、应用系统等
On Measuring Social Biases in Sentence Encoders,2019,675,220,12,5e9c85235210b59a16bdd84b444a904ae271f7e7,,0,0,0,0,2,23,64,72,127,138,139,模型可解释性、公平性、应用系统等
Gender Bias in Contextualized Word Embeddings,2019,451,143,10,e235ad7dcf6e97cd372f09724dc947c5b1efac79,,0,0,0,0,2,35,71,64,93,67,75,自然语言处理
Combining Sentiment Lexica with a Multi-View Variational Autoencoder,2019,9,5,0,fade3b6a731f14d83bff864e87bc689c44a0399c,,0,0,0,0,0,1,1,4,1,1,1,自然语言处理
Enhancing Opinion Role Labeling with Semantic-Aware Word Representations from Semantic Role Labeling,2019,17,8,1,9a44bb4f838fe48b4fc4ace04ff5b88da73fe8b7,,0,0,0,0,0,0,6,5,2,1,3,自然语言处理
"Frowning Frodo, Wincing Leia, and a Seriously Great Friendship: Learning to Classify Emotional Relationships of Fictional Characters",2019,46,14,1,8a706e6796a174ff92be43f6940f196a4989b9be,,0,0,0,0,1,3,7,9,7,6,8,自然语言处理
Generalizing Unmasking for Short Texts,2019,61,5,0,41b220365fb3fcd4ab050b3b975db5413c958503,,0,0,0,0,0,2,13,10,9,8,12,自然语言处理
Adversarial Training for Satire Detection: Controlling for Confounding Variables,2019,32,9,0,43676a155b857b747e7489329517c0ea9dfe7286,,0,0,0,0,0,3,9,8,3,5,4,自然语言处理
Keyphrase Generation: A Text Summarization Struggle,2019,25,6,1,2fa54c636832197e7d117b9fbafd7161e66215d7,,0,0,0,0,0,2,4,7,5,2,3,自然语言处理
SEQ⌃3: Differentiable Sequence-to-Sequence-to-Sequence Autoencoder for Unsupervised Abstractive Sentence Compression,2019,85,38,0,8274799029bfac4402685e1efd995a8aeb9e7426,,0,0,0,0,0,10,20,19,18,11,4,自然语言处理
Crowdsourcing Lightweight Pyramids for Manual Summary Evaluation,2019,64,28,2,8028d89240d5406850312ba5b113b289961c9f65,,0,0,0,0,0,1,13,11,14,9,12,自然语言处理
Serial Recall Effects in Neural Language Modeling,2019,0,0,0,9f2ff29de468495841d2929ab20b86cee773cd4d,,0,0,0,0,0,0,0,0,0,0,0,自然语言处理
Fast Concept Mention Grouping for Concept Map-based Multi-Document Summarization,2019,6,1,0,0618964c3a84a6bb34a40c725caae6c5c2cc1651,,0,0,0,0,0,0,2,2,0,1,1,自然语言处理
Syntax-aware Neural Semantic Role Labeling with Supertags,2019,38,16,2,a6c319c9da2ebc3853658d64ae15bf7f7caad326,,0,0,0,0,0,3,13,8,8,5,1,自然语言处理
Left-to-Right Dependency Parsing with Pointer Networks,2019,58,26,1,c18922ac338737e4ac8f7d37d6dec6aaedb6ebde,,0,0,0,0,0,13,15,14,10,5,1,自然语言处理
Viable Dependency Parsing as Sequence Labeling,2019,73,24,1,931c823103c267ed45505a2bd9792503f6997907,,0,0,0,0,0,9,20,10,12,7,8,自然语言处理
Pooled Contextualized Embeddings for Named Entity Recognition,2019,270,73,4,edfe9dd16316618e694cd087d0d418dac91eb48c,,0,0,0,0,0,30,100,68,33,26,7,自然语言处理
Better Modeling of Incomplete Annotations for Named Entity Recognition,2019,77,26,2,f86a71a5c8ff52130a10a598c76f7d9606a0a3cf,,0,0,0,0,0,6,7,13,10,18,15,自然语言处理
Event Detection without Triggers,2019,55,11,3,5aefdda20616a65ada0ba5dc360e5d4981633bbf,,0,0,0,0,0,0,7,11,12,16,8,自然语言处理
Sub-event detection from twitter streams as a sequence labeling problem,2019,25,5,3,53bdfffb77b6c0111aee192f351daa4771eb129a,,0,0,0,0,0,4,3,6,5,5,1,自然语言处理
GraphIE: A Graph-Based Framework for Information Extraction,2019,118,39,0,1da8e1ad1814d81f69433ac877ef70caa950e4e6,,0,0,0,0,0,6,23,28,16,25,14,自然语言处理
OpenKI: Integrating Open Information Extraction and Knowledge Bases with Relation Inference,2019,24,8,0,d17b6e623fc7f5ca305b2111d695ad494fbb7e2f,,0,0,0,0,0,2,6,7,1,3,3,自然语言处理
Imposing Label-Relational Inductive Bias for Extremely Fine-Grained Entity Typing,2019,51,29,1,a0713d945b2e5c2bdeeba68399c8ac6ea84e0ca6,,0,0,0,0,0,4,7,9,15,12,2,自然语言处理
Improving Event Coreference Resolution by Learning Argument Compatibility from Unlabeled Data,2019,36,17,1,1a08438003d7a58b3982eb3cbc8198ff84e77eba,,0,0,0,0,0,1,7,12,4,4,7,自然语言处理
Sentence Embedding Alignment for Lifelong Relation Extraction,2019,154,69,3,64584150548d79aadad3a0b3e7a3c949967c5d55,,0,0,0,0,0,3,13,22,24,29,34,自然语言处理
Description-Based Zero-shot Fine-Grained Entity Typing,2019,48,20,0,51b958dd76a6aefcd521ec0f503c3e334f711362,,0,0,0,0,0,2,6,8,12,12,3,自然语言处理
Adversarial Decomposition of Text Representation,2019,47,20,0,80e913e4a2d52cf024a0aaebbe0f4246bf94c26d,,0,0,0,0,0,5,12,11,3,7,5,自然语言处理
PoMo: Generating Entity-Specific Post-Modifiers in Context,2019,11,4,0,66a6782dad331cb37bca2b190c9978e120fba317,,0,0,0,0,0,2,4,2,0,3,0,自然语言处理
Improved Lexically Constrained Decoding for Translation and Monolingual Rewriting,2019,145,68,1,101141b047d119ef9c8fda8dd83d3d9eb3fbfd1f,,0,0,0,0,0,2,30,25,29,29,17,自然语言处理
Courteously Yours: Inducing courteous behavior in Customer Care responses using Reinforced Pointer Generator Network,2019,25,5,0,ed1a894ad6652c81f4f96ae61860a94b6af7cc29,,0,0,0,0,0,0,5,3,6,6,3,强化学习与智能决策
How to Avoid Sentences Spelling Boring? Towards a Neural Approach to Unsupervised Metaphor Generation,2019,35,19,0,74f08a35123065389a2805e2500141da01c9f6ef,,0,0,0,0,0,1,3,7,9,7,5,自然语言处理
Incorporating Context and External Knowledge for Pronoun Coreference Resolution,2019,33,14,0,06a711b6a40140af0fc8a92c8955d67717dcb9b3,,0,0,0,0,0,6,10,7,4,1,2,自然语言处理
Unsupervised Deep Structured Semantic Models for Commonsense Reasoning,2019,15,5,0,129a891b0016f4192bae8c495bb5cdf13d260403,,0,0,0,0,0,2,4,5,2,1,1,自然语言处理
Recovering dropped pronouns in Chinese conversations via modeling their referents,2019,11,6,0,3c17e2784b7d29088abab27f45c38258a9398677,,0,0,0,0,0,1,3,3,2,2,0,自然语言处理
The problem with probabilistic DAG automata for semantic graphs,2019,3,0,0,382e8611e45d3e2cce4c1f50cdc32e354be31a0a,,0,0,0,0,0,2,0,0,0,0,1,概率统计与推理基础
A Systematic Study of Leveraging Subword Information for Learning Word Representations,2019,32,7,1,40c531fb0267437b0f76fd8f0080fb4de9ffe146,,0,0,0,0,0,2,10,9,4,0,3,表示学习与优化方法
Better Word Embeddings by Disentangling Contextual n-Gram Information,2019,41,8,0,b7ec73da32f5552f1cb5725f814efb9d586ded36,,0,0,0,0,0,3,7,8,9,7,4,表示学习与优化方法
Integration of Knowledge Graph Embedding Into Topic Modeling with Hierarchical Dirichlet Process,2019,29,10,0,4a96636d1fc92221f2232d2d74be6e303cd0642a,,0,0,0,0,0,1,5,5,5,4,3,表示学习与优化方法
Correlation Coefficients and Semantic Textual Similarity,2019,58,13,2,a97f02c6ebe2c181d2b3e72b64fdb6119de1d444,,0,0,0,0,0,5,8,9,8,8,7,自然语言处理
Generating Token-Level Explanations for Natural Language Inference,2019,58,24,1,e7e1f5a713d20cdf31e732022731fdf0d8fb4fc5,,0,0,0,0,0,3,12,17,8,12,3,模型可解释性、公平性、应用系统等
Strong Baselines for Complex Word Identification across Multiple Languages,2019,27,4,0,d558c6b953e0267781ed5da90a35c122ba360f10,,0,0,0,0,0,2,5,5,7,2,5,自然语言处理
Adaptive Convolution for Multi-Relational Learning,2019,157,27,7,1caf2b23b4882b5e1a6a209641d3b66ac1f84f62,,0,0,0,0,0,3,14,16,24,36,40,表示学习与优化方法
Graph Pattern Entity Ranking Model for Knowledge Graph Completion,2019,18,5,1,3721a8bc7aed12e42ed446bee791d3117f32c101,,0,0,0,0,0,3,5,4,3,2,0,表示学习与优化方法
Adversarial Training for Weakly Supervised Event Detection,2019,154,52,3,569829ab76a311b1f7f5b33d37ffff6a3fae6490,,0,0,0,0,0,4,20,34,39,35,14,自然语言处理
A Submodular Feature-Aware Framework for Label Subset Selection in Extreme Classification Problems,2019,7,2,0,4f99be9cd9c97b67d80308d4570b76c78480cd2c,,0,0,0,0,0,0,1,2,1,1,2,机器学习（含深度学习）
Relation Extraction with Temporal Reasoning Based on Memory Augmented Distant Supervision,2019,7,2,0,2c3ab68fd1d70759a79399841089333b150450ed,,0,0,0,0,0,0,3,0,1,2,1,自然语言处理
Integrating Semantic Knowledge to Tackle Zero-shot Text Classification,2019,121,40,5,e0d830244620fdfc3ee61919c64557eddca66ae0,,0,0,0,0,0,6,23,25,20,24,15,自然语言处理
Word-Node2Vec: Improving Word Embedding with Document-Level Non-Local Word Co-occurrences,2019,15,3,0,d40167fe8c66abbcc5700755d885e1da3199ba1c,,0,0,0,0,0,0,2,4,4,3,1,自然语言处理
Cross-Topic Distributional Semantic Representations Via Unsupervised Mappings,2019,2,0,0,c241ed6c02eb3152ecf524857721384987cf4939,,0,0,0,0,0,0,1,0,1,0,0,自然语言处理
What just happened? Evaluating retrofitted distributional word vectors,2019,2,1,0,aa03867a7ad2732cc5ed2eb23d4134c50e01694e,,0,0,0,0,0,0,2,0,0,0,0,自然语言处理
Linguistic Knowledge and Transferability of Contextual Representations,2019,782,295,11,f6fbb6809374ca57205bd2cf1421d4f4fa04f975,,0,0,0,0,1,68,170,153,123,114,73,自然语言处理
Mutual Information Maximization for Simple and Accurate Part-Of-Speech Induction,2019,28,12,0,7cc6795ce4f673f083cfbb7a09a8bea9a12cb623,,0,0,0,0,2,1,5,5,8,2,2,自然语言处理
Unsupervised Recurrent Neural Network Grammars,2019,120,65,0,d7dc79050f17154e7cf57501cf6cab1b9c18f232,,0,0,0,0,1,13,41,21,14,15,10,自然语言处理
Cooperative Learning of Disjoint Syntax and Semantics,2019,48,30,0,b0e2fe0fe9f4fc4ce05d5f637baff96a7e966c01,,0,0,0,0,2,5,12,13,4,9,2,自然语言处理
Unsupervised Latent Tree Induction with Deep Inside-Outside Recursive Auto-Encoders,2019,127,66,2,0053f75b7053f43b9787a9955426281e672b147b,,0,0,0,0,1,12,27,24,13,30,15,自然语言处理
Knowledge-Augmented Language Model and Its Application to Unsupervised Named-Entity Recognition,2019,39,11,2,880f418fef7a768a9a24f872eab3b1ce5de83e53,,0,0,0,0,0,4,13,5,7,6,1,自然语言处理
Syntax-Enhanced Neural Machine Translation with Syntax-Aware Word Representations,2019,59,17,2,9e9d9bea25b030e760e2057b70d95e846587ece3,,0,0,0,0,0,7,13,11,12,6,7,自然语言处理
Competence-based Curriculum Learning for Neural Machine Translation,2019,378,139,7,7225c2a42990f850f692f8d82e7f3bfaf312145c,,0,0,0,0,0,14,35,59,75,73,66,自然语言处理
Extract and Edit: An Alternative to Back-Translation for Unsupervised Neural Machine Translation,2019,39,10,1,1e0f3c3b3f054eed46e6d0086e532a81fc418cd8,,0,0,0,0,0,6,17,5,9,1,1,自然语言处理
Consistency by Agreement in Zero-Shot Neural Machine Translation,2019,57,26,1,85bcccd887a8f5b164745e1c0f0ae4e4dc88cd80,,0,0,0,0,0,7,14,15,8,9,3,自然语言处理
Modeling Recurrence for Transformer,2019,86,30,3,528b5f5356bc7ad91edc4dc074b0273e1e55fb03,,0,0,0,0,0,16,24,11,18,8,5,自然语言处理
Rethinking Action Spaces for Reinforcement Learning in End-to-end Dialog Agents with Latent Variable Models,2019,142,59,3,590d2e1c66c9f11575df4ea9dc63d605b1c05e05,,0,0,0,0,0,15,41,32,30,14,9,强化学习与智能决策
Skeleton-to-Response: Dialogue Generation Guided by Retrieval Memory,2019,95,44,1,6d096fee5ed148fb60955c0bb074ba7c15c8e676,,0,0,0,0,0,9,17,17,15,14,17,自然语言处理
Jointly Optimizing Diversity and Relevance in Neural Response Generation,2019,83,39,2,4cbd8643dfcb7510f87a01610ba0cc5c1a33458e,,0,0,0,0,0,13,33,16,7,9,3,自然语言处理
Disentangling Language and Knowledge in Task-Oriented Dialogs,2019,43,17,0,74447bb5f2aa49d4281d82b71774e0d815600981,,0,0,0,0,1,3,11,14,8,5,1,自然语言处理
Tensorized Self-Attention: Efficiently Modeling Pairwise and Global Dependencies Together,2019,15,7,0,0a6a6f8f1a76ce48ff52af27d4928eeed5d082a3,,0,0,0,0,0,3,3,2,1,1,3,表示学习与优化方法
WiC: the Word-in-Context Dataset for Evaluating Context-Sensitive Meaning Representations,2019,544,221,2,a925f818f787e142c5f6bcb7bbd7ede2deb34860,,0,0,0,0,0,19,44,79,84,102,117,自然语言处理
Does My Rebuttal Matter? Insights from a Major NLP Conference,2019,75,15,2,06de3a58ff385ea47c8bc2ee4154d82cd3e29234,,0,0,0,0,2,1,9,15,13,15,10,自然语言处理
Casting Light on Invisible Cities: Computationally Engaging with Literary Criticism,2019,4,0,0,092b80cc6250f74a2c1e0ba7820c31a8f0153c0a,,0,0,0,0,0,0,0,2,0,1,1,自然语言处理
PAWS: Paraphrase Adversaries from Word Scrambling,2019,569,260,4,fc09d6486be1c9bbfbef4165ce3c1ab664e5d084,,0,0,0,0,0,14,53,87,132,130,96,自然语言处理
Cross-Corpora Evaluation and Analysis of Grammatical Error Correction Models — Is Single-Corpus Evaluation Enough?,2019,20,5,0,18b5e764e2158dc6ff7d19b0496dafcd3dd3b719,,0,0,0,0,0,0,5,7,6,0,1,自然语言处理
Star-Transformer,2019,140,24,9,027b2285c29142cd7d7ec0ed6014ae2024998a33,,0,0,0,0,0,0,0,0,1,31,54,自然语言处理
Adaptation of Hierarchical Structured Models for Speech Act Recognition in Asynchronous Conversation,2019,6,1,0,7b32f25811bedcc622f4356ea6baad82de24374c,,0,0,0,0,0,1,2,1,0,2,0,自然语言处理
From legal to technical concept: Towards an automated classification of German political Twitter postings as criminal offenses,2019,6,0,0,5e4c9d7ba8ed75d51c513467a24fb2d406ea25ec,,0,0,0,0,0,0,2,1,1,1,0,自然语言处理
Joint Multi-Label Attention Networks for Social Text Annotation,2019,11,2,1,011506e30198f8024da33c4e770af90b098d5c1f,,0,0,0,0,0,2,3,0,1,2,2,自然语言处理
Multi-Channel Convolutional Neural Network for Twitter Emotion and Sentiment Recognition,2019,23,7,0,0d2a830b178e6f1a2956c4b2b6b1500065db0123,,0,0,0,0,0,1,8,6,3,2,1,自然语言处理
Detecting Cybersecurity Events from Noisy Short Text,2019,23,4,1,10869919787a8befec96fd7750a47cc9e1243637,,0,0,0,0,0,2,3,2,2,7,3,自然语言处理
White-to-Black: Efficient Distillation of Black-Box Adversarial Attacks,2019,52,14,2,360d05b60c0c8e86d191796e0774e7a7522294c3,,0,0,0,0,0,1,5,8,10,13,9,计算机视觉
Analyzing the Perceived Severity of Cybersecurity Threats Reported on Social Media,2019,38,7,0,4342109c68b6f7323424d2d020bb9b3dd827d681,,0,0,0,0,1,4,7,4,5,4,8,模型可解释性、公平性、应用系统等
Fake News Detection using Deep Markov Random Fields,2019,37,4,1,f3d824579462eb6bd0f937a72ab3628d693298f6,,0,0,0,0,0,1,10,8,7,5,4,自然语言处理
Issue Framing in Online Discussion Fora,2019,21,11,0,9e82aba279807a6c8541c8811f049a40ebca36c1,,0,0,0,0,0,1,4,5,1,6,1,自然语言处理
Vector of Locally Aggregated Embeddings for Text Representation,2019,2,0,0,6fa0a4a1cde6e99943a24b25abf825d012cd5ebf,,0,0,0,0,0,1,1,0,0,0,0,表示学习与优化方法
Predicting the Type and Target of Offensive Posts in Social Media,2019,834,143,21,13ff28f98474858d84c339e5301cb3bf468ac68b,,0,0,0,0,0,91,137,157,113,140,115,自然语言处理
Biomedical Event Extraction based on Knowledge-driven Tree-LSTM,2019,81,13,4,02e0c26d4c3442d0c474ac1c7423650dbcd349a8,,0,0,0,0,0,4,18,17,17,14,6,自然语言处理
Detecting cognitive impairments by agreeing on interpretations of linguistic features,2019,27,3,1,02b210f6d2d6872018797efa317789c1768d99e9,,0,0,0,0,2,3,7,7,6,0,1,自然语言处理
Relation Extraction using Explicit Context Conditioning,2019,18,5,1,040a4eb456ca700a59ff259c00286231bd3141f7,,0,0,0,0,1,4,9,0,2,1,1,自然语言处理
Conversation Model Fine-Tuning for Classifying Client Utterances in Counseling Dialogues,2019,17,5,1,66912c24410668728b49c0551835031c14eeb407,,0,0,0,0,0,0,2,0,5,2,5,自然语言处理
Using Similarity Measures to Select Pretraining Data for NER,2019,52,19,1,61d24c45e41f4f6cfc3d9da2f03efde1862b839e,,0,0,0,0,0,2,13,9,8,7,9,自然语言处理
Predicting Annotation Difficulty to Improve Task Routing and Model Performance for Biomedical Information Extraction,2019,15,4,1,01eaa69c35cbcee1e39bb19f9479dbd51404085d,,0,0,0,0,0,4,0,3,0,3,2,自然语言处理
Detecting Depression in Social Media using Fine-Grained Emotions,2019,69,8,2,f8c0439643706eb96e3f41377d037dd655b7d188,,0,0,0,0,0,1,8,14,19,13,7,自然语言处理
A Silver Standard Corpus of Human Phenotype-Gene Relations,2019,37,12,0,d08be34cb90718b331aa6574dc80b0370ca5895f,,0,0,0,0,0,4,10,4,6,7,3,自然语言处理
Improving Lemmatization of Non-Standard Languages with Joint Learning,2019,49,1,2,2984f98a16c28760cdafbfad22bab116bba4b79c,,0,0,0,0,0,6,10,13,6,8,3,自然语言处理
One Size Does Not Fit All: Comparing NMT Representations of Different Granularities,2019,43,22,1,be564b861e5a9bf5d1dec531807e711000027380,,0,0,0,0,0,4,8,9,10,6,3,自然语言处理
A Simple Joint Model for Improved Contextual Neural Lemmatization,2019,30,2,0,1d8bb078a86b1999805605b71a8ffe410bda4714,,0,0,0,0,0,12,4,3,6,1,1,自然语言处理
A Probabilistic Generative Model of Linguistic Typology,2019,24,10,0,7c5f943ce2e9c12bf1423424732b06dcf95f3e8a,,0,0,0,0,0,3,10,3,2,4,2,概率统计与推理基础
Quantifying the morphosyntactic content of Brown Clusters,2019,1,0,0,40586ffd4e2bc700943e85d68245e216992abbde,,0,0,0,0,0,0,1,0,0,0,0,自然语言处理
Analyzing Bayesian Crosslingual Transfer in Topic Models,2019,2,0,0,e0ea4598f2c44a00784a7952ed11eae670faacc9,,0,0,0,0,1,0,0,0,0,1,0,概率统计与推理基础
Recursive Subtree Composition in LSTM-Based Dependency Parsing,2019,14,6,1,f9b29a1a34f2ee586b694954e8219ed1d674a69d,,0,0,0,0,0,3,3,4,1,1,0,自然语言处理
Cross-lingual CCG Induction,2019,0,0,0,a67e8d138fba28b69f696f3ab89ad48c42c23b7b,,0,0,0,0,0,0,0,0,0,0,0,自然语言处理
Density Matching for Bilingual Word Embedding,2019,40,14,1,f26f17ec49f2593bcc926051394871480a80c0c2,,0,0,0,0,0,8,13,5,6,5,1,自然语言处理
"Cross-Lingual Alignment of Contextual Word Embeddings, with Applications to Zero-shot Dependency Parsing",2019,218,83,4,f1d791b9dd32577609ddd48e6001e46f1780062c,,0,0,0,0,1,32,60,45,23,23,22,自然语言处理
Early Rumour Detection,2019,72,16,4,dc7e75927c5082a6236c1a8dc7a9850ce8afd017,,0,0,0,0,0,1,12,13,16,11,10,自然语言处理
Microblog Hashtag Generation via Encoding Conversation Contexts,2019,28,14,1,99526e14a0954217f5261bed6a56c548f4e1ef97,,0,0,0,0,0,3,5,6,4,6,2,自然语言处理
Text Processing Like Humans Do: Visually Attacking and Shielding NLP Systems,2019,181,60,6,4dda68faa3ea2c888711ce5ced009afcb612e05b,,0,0,0,0,0,8,13,34,36,40,29,自然语言处理
Something’s Brewing! Early Prediction of Controversy-causing Posts from Discussion Features,2019,75,15,1,09ba232886fb2aaca21b16fd9b684c6ce29de1b6,,0,0,0,0,0,3,6,19,16,11,11,自然语言处理
No Permanent Friends or Enemies: Tracking Relationships between Nations from News,2019,11,5,0,10efa5b8f0bfb450b24385c44e18b90f595fe93a,,0,0,0,0,0,0,4,2,3,2,0,自然语言处理
